                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7521,                 5.0587,                 2.7166,                0.01131,                0.19067,                0.01167,                0.00354,                 2.2545,                 3.6717,                 2.2399,               0.090103,             9.9974e-05,             9.9974e-05
                      2,                  2.566,                 4.4909,                 2.5326,                0.00976,                0.25285,                0.02389,                0.00734,                 2.0835,                 3.4262,                 2.0337,               0.080198,             0.00019555,             0.00019555
                      3,                 2.3712,                 4.1414,                 2.3158,                0.01542,                0.47972,                0.06407,                0.02425,                 1.8969,                 3.1546,                 1.8527,               0.070289,              0.0002867,              0.0002867
                      4,                 2.2065,                  3.717,                 2.1327,                0.33487,                0.10727,                0.11253,                0.04433,                 1.8398,                 2.9548,                 1.7664,               0.060376,             0.00037342,             0.00037342
                      5,                  2.105,                 3.2976,                 2.0405,                0.29569,                0.20052,                0.16228,                0.06763,                 1.7264,                 2.6446,                 1.6616,               0.050458,             0.00045571,             0.00045571
                      6,                 2.0018,                 2.9918,                  1.932,                 0.3953,                0.25832,                0.23144,                0.10112,                 1.6464,                 2.5475,                 1.5555,               0.040536,             0.00053358,             0.00053358
                      7,                 1.9334,                 2.7368,                 1.8398,                0.41582,                0.34005,                0.30357,                0.13422,                 1.5663,                 2.3148,                 1.4796,                0.03061,             0.00060702,             0.00060702
                      8,                 1.8439,                 2.4904,                 1.7427,                0.46689,                0.37745,                 0.3756,                0.17467,                 1.4963,                 2.0614,                 1.3872,               0.020679,             0.00067603,             0.00067603
                      9,                 1.7529,                 2.2428,                 1.6564,                0.53353,                0.42236,                0.44099,                0.21495,                 1.4286,                 1.9353,                 1.3318,               0.010743,             0.00074062,             0.00074062
                     10,                  1.692,                 2.0993,                 1.6017,                0.55951,                0.46933,                0.49736,                0.25203,                  1.384,                 1.7081,                  1.293,             0.00080336,             0.00080078,             0.00080078
                     11,                 1.6746,                 1.9847,                 1.5793,                0.60621,                0.50532,                0.54342,                0.28234,                 1.3312,                 1.5539,                 1.2407,             0.00077867,             0.00077867,             0.00077867
                     12,                 1.6199,                 1.8299,                 1.5319,                0.60296,                0.52401,                0.56956,                 0.3044,                 1.2954,                 1.5005,                 1.2308,             0.00077867,             0.00077867,             0.00077867
                     13,                 1.6119,                  1.763,                 1.5336,                0.66039,                0.53989,                0.60241,                 0.3219,                 1.2867,                 1.4182,                  1.217,             0.00075653,             0.00075653,             0.00075653
                     14,                 1.5655,                 1.6305,                 1.4898,                0.66802,                0.55127,                  0.613,                0.33567,                 1.2716,                 1.3939,                 1.2088,              0.0007344,              0.0007344,              0.0007344
                     15,                 1.5566,                 1.6006,                 1.4894,                0.67934,                0.57279,                0.63135,                0.35003,                 1.2464,                 1.3173,                 1.1988,             0.00071227,             0.00071227,             0.00071227
                     16,                 1.5395,                 1.5474,                 1.4743,                0.67534,                0.59029,                0.64492,                0.36299,                 1.2362,                 1.2618,                  1.194,             0.00069013,             0.00069013,             0.00069013
                     17,                  1.503,                 1.4574,                  1.459,                0.70783,                0.58595,                0.66328,                0.37295,                 1.2253,                 1.2637,                  1.189,               0.000668,               0.000668,               0.000668
                     18,                 1.5037,                 1.4514,                  1.451,                0.68915,                0.60893,                0.67169,                0.38199,                 1.2196,                 1.2068,                 1.1765,             0.00064587,             0.00064587,             0.00064587
                     19,                 1.4649,                 1.3882,                 1.4251,                0.67714,                 0.6136,                0.67602,                0.38125,                 1.2146,                 1.1828,                  1.181,             0.00062373,             0.00062373,             0.00062373
                     20,                 1.4677,                 1.3864,                  1.437,                0.71164,                0.61404,                0.68321,                0.39134,                 1.2157,                 1.1545,                 1.1854,              0.0006016,              0.0006016,              0.0006016
                     21,                 1.4576,                 1.3511,                 1.4298,                0.70527,                0.62841,                0.69389,                0.39899,                 1.1953,                 1.1311,                 1.1694,             0.00057947,             0.00057947,             0.00057947
                     22,                 1.4423,                 1.3222,                 1.4118,                0.72084,                0.63527,                0.69502,                 0.4002,                 1.2054,                  1.144,                 1.1715,             0.00055733,             0.00055733,             0.00055733
                     23,                  1.427,                 1.2854,                 1.4053,                 0.7259,                 0.6319,                0.70842,                0.40543,                 1.1983,                 1.0902,                 1.1653,              0.0005352,              0.0005352,              0.0005352
                     24,                 1.4128,                 1.2559,                 1.3849,                0.72764,                0.62572,                0.70555,                0.40801,                 1.1909,                 1.0665,                 1.1597,             0.00051307,             0.00051307,             0.00051307
                     25,                 1.4091,                 1.2394,                 1.3849,                0.73027,                0.63129,                0.71338,                 0.4117,                 1.1956,                 1.0771,                 1.1656,             0.00049093,             0.00049093,             0.00049093
                     26,                 1.4034,                 1.2203,                 1.3811,                0.72049,                0.63819,                  0.711,                0.41399,                 1.1762,                 1.0391,                 1.1521,              0.0004688,              0.0004688,              0.0004688
                     27,                 1.4017,                 1.2043,                 1.3827,                 0.7208,                0.64977,                0.71855,                0.41734,                 1.1784,                 1.0501,                 1.1528,             0.00044667,             0.00044667,             0.00044667
                     28,                 1.3799,                  1.182,                  1.374,                0.71756,                0.65932,                0.71986,                 0.4177,                 1.1767,                 1.0305,                 1.1501,             0.00042453,             0.00042453,             0.00042453
                     29,                 1.3704,                  1.169,                  1.368,                0.72734,                0.64623,                0.72353,                0.42505,                 1.1792,                 1.0068,                 1.1588,              0.0004024,              0.0004024,              0.0004024
                     30,                 1.3746,                 1.1559,                 1.3612,                0.73185,                0.66105,                 0.7316,                0.42382,                 1.1782,                 1.0112,                 1.1534,             0.00038027,             0.00038027,             0.00038027
                     31,                 1.3722,                 1.1467,                 1.3576,                0.73702,                0.65745,                0.73198,                0.42682,                 1.1713,                 1.0086,                 1.1459,             0.00035813,             0.00035813,             0.00035813
                     32,                 1.3534,                  1.125,                 1.3483,                0.74347,                0.67169,                0.73568,                0.43148,                  1.176,                 1.0089,                 1.1481,               0.000336,               0.000336,               0.000336
                     33,                 1.3477,                 1.1003,                 1.3365,                0.74015,                0.66856,                0.74034,                0.43022,                 1.1674,                0.99714,                 1.1441,             0.00031387,             0.00031387,             0.00031387
                     34,                 1.3407,                 1.0982,                 1.3359,                0.75253,                0.66016,                 0.7395,                0.43283,                  1.164,                0.97763,                 1.1413,             0.00029173,             0.00029173,             0.00029173
                     35,                 1.3278,                 1.0777,                 1.3234,                 0.7437,                0.67596,                0.74533,                0.43542,                 1.1548,                0.97639,                 1.1361,              0.0002696,              0.0002696,              0.0002696
                     36,                 1.3271,                 1.0825,                 1.3249,                0.74936,                0.67718,                0.74413,                0.43473,                 1.1685,                0.96466,                 1.1421,             0.00024747,             0.00024747,             0.00024747
                     37,                 1.3172,                 1.0585,                 1.3213,                  0.759,                0.66697,                0.74019,                0.43447,                 1.1574,                0.96568,                 1.1441,             0.00022533,             0.00022533,             0.00022533
                     38,                 1.3092,                 1.0531,                 1.3192,                0.75956,                0.66359,                0.73784,                0.43009,                 1.1659,                0.96223,                 1.1454,              0.0002032,              0.0002032,              0.0002032
                     39,                 1.3184,                 1.0415,                 1.3231,                0.77574,                 0.6605,                 0.7469,                0.43613,                 1.1622,                 0.9699,                 1.1461,             0.00018107,             0.00018107,             0.00018107
                     40,                 1.3006,                 1.0217,                 1.3054,                0.75503,                0.67637,                0.74541,                0.43322,                 1.1633,                0.94822,                 1.1414,             0.00015893,             0.00015893,             0.00015893
                     41,                  1.294,                 1.0117,                 1.3066,                0.77352,                0.64596,                0.74039,                 0.4345,                  1.162,                0.97316,                 1.1429,              0.0001368,              0.0001368,              0.0001368
                     42,                 1.2981,                 1.0183,                 1.3132,                0.75801,                0.67402,                0.74704,                0.43575,                 1.1604,                0.94295,                 1.1437,             0.00011467,             0.00011467,             0.00011467
                     43,                 1.2796,                0.99407,                 1.3029,                0.75976,                0.67649,                0.74704,                0.43897,                 1.1526,                0.94605,                 1.1375,             9.2533e-05,             9.2533e-05,             9.2533e-05
                     44,                 1.2799,                0.99446,                 1.2974,                0.77062,                0.67398,                0.75018,                0.43832,                 1.1609,                0.93563,                 1.1436,               7.04e-05,               7.04e-05,               7.04e-05
                     45,                  1.287,                 1.0039,                 1.3094,                0.77744,                0.67462,                0.75288,                0.43987,                 1.1679,                0.92314,                 1.1466,             4.8267e-05,             4.8267e-05,             4.8267e-05
