                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.976,                 4.9635,                 1.8058,                      0,                      0,                      0,                      0,                 2.2099,                 5.9683,                 2.0743,               0.090103,             9.9974e-05,             9.9974e-05
                      2,                 1.8791,                 5.0199,                 1.7494,                      0,                      0,                      0,                      0,                  2.064,                 5.7662,                  1.948,               0.080198,             0.00019555,             0.00019555
                      3,                 1.7518,                 4.7212,                 1.6355,                      0,                      0,                      0,                      0,                 1.9865,                 5.2742,                 1.8216,               0.070289,              0.0002867,              0.0002867
                      4,                 1.7296,                 4.1058,                 1.5743,                0.02049,                0.22481,                0.05148,                0.01859,                  1.928,                 4.2204,                 1.7686,               0.060376,             0.00037342,             0.00037342
                      5,                 1.6959,                 3.4581,                 1.5329,                0.06179,                0.34667,                0.09259,                0.03475,                 1.9526,                 3.6841,                 1.7455,               0.050458,             0.00045571,             0.00045571
                      6,                 1.6692,                 3.1213,                 1.5076,                0.04171,                0.48919,                0.15793,                0.06766,                 1.8084,                 3.1906,                 1.6681,               0.040536,             0.00053358,             0.00053358
                      7,                 1.5868,                 2.8474,                 1.4509,                0.05018,                0.52507,                0.19637,                0.08892,                 1.7793,                 2.8922,                 1.6312,                0.03061,             0.00060702,             0.00060702
                      8,                 1.5661,                 2.7227,                 1.4362,                0.05468,                0.56583,                 0.2215,                0.10198,                 1.7074,                 2.7874,                 1.5774,               0.020679,             0.00067603,             0.00067603
                      9,                 1.5071,                 2.6022,                 1.3863,                0.11163,                0.51684,                0.25192,                0.11529,                 1.6671,                 2.7419,                 1.5477,               0.010743,             0.00074062,             0.00074062
                     10,                  1.482,                  2.517,                 1.3618,                0.61172,                0.17443,                0.27627,                0.13166,                 1.6166,                  2.613,                 1.5062,             0.00080336,             0.00080078,             0.00080078
                     11,                 1.4498,                  2.454,                  1.337,                0.65721,                0.13826,                0.28773,                0.13716,                 1.5549,                  2.467,                 1.4556,             0.00077867,             0.00077867,             0.00077867
                     12,                 1.4069,                 2.3261,                 1.3015,                0.72067,                0.15505,                0.31567,                0.15067,                 1.5494,                 2.3494,                 1.4387,             0.00077867,             0.00077867,             0.00077867
                     13,                 1.4007,                 2.2843,                 1.2877,                0.69441,                0.17067,                0.32219,                0.15326,                 1.5007,                 2.3118,                 1.4083,             0.00075653,             0.00075653,             0.00075653
                     14,                 1.3614,                 2.2008,                 1.2592,                0.65128,                0.21254,                0.33641,                0.16345,                 1.4784,                 2.2199,                 1.3893,              0.0007344,              0.0007344,              0.0007344
                     15,                  1.332,                 2.1291,                 1.2354,                0.64201,                0.22438,                 0.3467,                0.16712,                 1.4696,                 2.1547,                 1.3797,             0.00071227,             0.00071227,             0.00071227
                     16,                  1.305,                 2.0799,                 1.2125,                0.57928,                0.23996,                0.33637,                0.16915,                 1.4529,                 2.1009,                 1.3621,             0.00069013,             0.00069013,             0.00069013
                     17,                 1.3126,                 2.0561,                 1.2161,                0.59653,                0.24931,                0.36156,                0.18036,                 1.4461,                 2.0521,                 1.3588,               0.000668,               0.000668,               0.000668
                     18,                 1.3029,                 2.0408,                  1.214,                0.59023,                0.26402,                 0.3608,                0.17931,                 1.4314,                 2.0179,                 1.3448,             0.00064587,             0.00064587,             0.00064587
                     19,                 1.2488,                 1.9635,                  1.173,                0.58145,                0.28756,                0.36755,                0.18289,                 1.4262,                 1.9722,                 1.3454,             0.00062373,             0.00062373,             0.00062373
                     20,                 1.2525,                 1.9324,                 1.1742,                0.61753,                0.28619,                0.39159,                0.19857,                 1.4092,                 1.9731,                 1.3304,              0.0006016,              0.0006016,              0.0006016
                     21,                 1.2687,                 1.9443,                 1.1845,                  0.604,                0.32765,                 0.3962,                0.19891,                 1.4087,                 1.8916,                 1.3269,             0.00057947,             0.00057947,             0.00057947
                     22,                 1.2358,                 1.9037,                 1.1706,                0.57091,                0.31829,                0.38794,                0.19592,                 1.3957,                 1.8888,                 1.3247,             0.00055733,             0.00055733,             0.00055733
                     23,                 1.2529,                 1.8762,                 1.1709,                0.57219,                0.33684,                0.40403,                0.20584,                 1.3853,                 1.8657,                 1.3128,              0.0005352,              0.0005352,              0.0005352
                     24,                 1.2165,                 1.8234,                 1.1564,                0.56814,                0.34657,                0.40682,                0.20783,                 1.3786,                 1.8359,                 1.3111,             0.00051307,             0.00051307,             0.00051307
                     25,                 1.2062,                 1.8008,                 1.1318,                0.55798,                0.35337,                0.40161,                0.20825,                 1.3691,                 1.8221,                 1.3034,             0.00049093,             0.00049093,             0.00049093
                     26,                 1.2109,                 1.7809,                 1.1548,                0.51333,                0.36382,                0.40168,                0.20617,                  1.362,                 1.7934,                 1.2974,              0.0004688,              0.0004688,              0.0004688
                     27,                 1.1886,                 1.7489,                 1.1275,                0.53387,                0.36021,                0.40538,                0.21233,                 1.3687,                 1.7846,                 1.2999,             0.00044667,             0.00044667,             0.00044667
                     28,                 1.1711,                 1.7197,                 1.1158,                0.54555,                0.36712,                0.41836,                0.21816,                  1.367,                 1.7843,                 1.3028,             0.00042453,             0.00042453,             0.00042453
                     29,                 1.1614,                 1.6925,                 1.1045,                0.55452,                0.37015,                0.42223,                0.22136,                 1.3607,                 1.7812,                 1.2919,              0.0004024,              0.0004024,              0.0004024
                     30,                 1.1796,                 1.7055,                 1.1219,                0.56818,                0.37362,                0.43218,                0.22672,                 1.3494,                 1.7644,                  1.285,             0.00038027,             0.00038027,             0.00038027
                     31,                 1.1807,                 1.6857,                 1.1205,                0.55431,                0.37818,                0.42849,                 0.2251,                 1.3568,                 1.7373,                 1.2913,             0.00035813,             0.00035813,             0.00035813
                     32,                 1.1342,                 1.6388,                  1.091,                0.55598,                0.37216,                0.43008,                 0.2246,                 1.3496,                  1.751,                 1.2854,               0.000336,               0.000336,               0.000336
                     33,                 1.1699,                 1.6306,                 1.1054,                0.56738,                0.36916,                0.43169,                0.22836,                 1.3505,                 1.7336,                 1.2856,             0.00031387,             0.00031387,             0.00031387
                     34,                 1.1405,                 1.6092,                 1.0933,                0.54068,                0.39157,                0.43591,                0.23147,                 1.3347,                 1.7221,                 1.2759,             0.00029173,             0.00029173,             0.00029173
                     35,                 1.1315,                 1.6082,                 1.0862,                0.55886,                0.39376,                0.45082,                0.23495,                 1.3462,                 1.6974,                 1.2819,              0.0002696,              0.0002696,              0.0002696
                     36,                  1.141,                 1.5742,                  1.097,                0.55182,                0.39728,                0.44592,                0.23679,                 1.3421,                 1.6905,                 1.2765,             0.00024747,             0.00024747,             0.00024747
                     37,                 1.0956,                 1.5446,                 1.0554,                0.55131,                0.39764,                0.44079,                0.23361,                 1.3392,                   1.71,                  1.279,             0.00022533,             0.00022533,             0.00022533
                     38,                 1.1028,                  1.515,                   1.06,                0.57812,                0.39364,                0.45272,                0.23966,                 1.3425,                 1.6961,                 1.2841,              0.0002032,              0.0002032,              0.0002032
                     39,                 1.1141,                 1.5219,                 1.0791,                0.54235,                0.39586,                0.44797,                0.23922,                 1.3441,                 1.6963,                 1.2817,             0.00018107,             0.00018107,             0.00018107
                     40,                 1.1367,                  1.514,                   1.09,                0.54749,                0.40481,                0.45307,                0.24006,                  1.347,                 1.6721,                 1.2851,             0.00015893,             0.00015893,             0.00015893
                     41,                 1.0841,                 1.4675,                 1.0507,                0.54807,                0.40344,                0.45257,                 0.2405,                 1.3463,                 1.6761,                 1.2847,              0.0001368,              0.0001368,              0.0001368
                     42,                 1.1401,                 1.4905,                 1.0916,                0.55079,                0.40549,                0.45987,                0.24376,                 1.3338,                 1.6627,                 1.2749,             0.00011467,             0.00011467,             0.00011467
                     43,                 1.0861,                 1.4491,                 1.0588,                0.55851,                0.40457,                0.45571,                 0.2395,                  1.349,                 1.6729,                 1.2833,             9.2533e-05,             9.2533e-05,             9.2533e-05
                     44,                 1.0903,                 1.4374,                 1.0585,                0.55797,                0.40542,                0.46022,                0.24342,                 1.3374,                 1.6483,                 1.2792,               7.04e-05,               7.04e-05,               7.04e-05
                     45,                 1.0753,                 1.4333,                 1.0477,                0.56128,                 0.4187,                0.46106,                0.24504,                 1.3389,                 1.6688,                 1.2797,             4.8267e-05,             4.8267e-05,             4.8267e-05
