                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1387,                 4.9954,                 1.9198,                      0,                      0,                      0,                      0,                 2.4054,                 6.0541,                  2.259,               0.090103,             9.9974e-05,             9.9974e-05
                      2,                 1.9401,                 5.0636,                 1.7936,                      0,                      0,                      0,                      0,                 2.1504,                  5.809,                 2.0473,               0.080198,             0.00019555,             0.00019555
                      3,                 1.7905,                   4.67,                 1.6652,                      0,                      0,                      0,                      0,                 2.0639,                 5.0743,                 1.9231,               0.070289,              0.0002867,              0.0002867
                      4,                 1.7723,                 4.1274,                 1.6013,                 0.0109,                0.22481,                 0.0397,                0.01488,                 1.9599,                 4.3048,                 1.7833,               0.060376,             0.00037342,             0.00037342
                      5,                 1.7088,                 3.5468,                 1.5181,                0.01378,                0.24973,                 0.0472,                0.01815,                 1.8862,                 3.7751,                 1.7179,               0.050458,             0.00045571,             0.00045571
                      6,                  1.677,                 3.1331,                 1.5065,                0.02899,                0.47846,                0.11535,                0.04306,                  1.827,                 3.2117,                 1.7046,               0.040536,             0.00053358,             0.00053358
                      7,                 1.6146,                 2.8807,                 1.4742,                0.03512,                0.54164,                0.14811,                 0.0638,                 1.7757,                  2.966,                 1.6657,                0.03061,             0.00060702,             0.00060702
                      8,                 1.5835,                  2.759,                 1.4518,                 0.0399,                0.57502,                0.19917,                0.08653,                 1.7209,                 2.8329,                 1.6163,               0.020679,             0.00067603,             0.00067603
                      9,                 1.5305,                 2.6561,                 1.4157,                0.15274,                0.44465,                0.22991,                0.10434,                 1.6113,                 2.6643,                 1.5393,               0.010743,             0.00074062,             0.00074062
                     10,                 1.4825,                 2.5683,                 1.3844,                0.46605,                0.22962,                0.26012,                0.11629,                 1.6011,                 2.6332,                 1.5073,             0.00080336,             0.00080078,             0.00080078
                     11,                 1.4466,                 2.4936,                 1.3271,                0.54159,                0.18928,                0.28247,                0.13143,                  1.557,                  2.389,                 1.4605,             0.00077867,             0.00077867,             0.00077867
                     12,                 1.3914,                  2.354,                 1.2869,                0.58191,                0.16295,                0.29681,                0.14384,                 1.5165,                 2.3963,                 1.4203,             0.00077867,             0.00077867,             0.00077867
                     13,                  1.379,                 2.2901,                 1.2686,                0.65524,                  0.174,                0.33546,                0.16324,                  1.496,                 2.3244,                 1.4021,             0.00075653,             0.00075653,             0.00075653
