epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.419,1.68537,3.10099,1.61638,0.40781,0.35126,0.29933,0.13444,1.53318,2.20614,1.44214,0.00333247,0.00333247,0.00333247
2,343.057,1.84244,2.36044,1.73466,0.40653,0.25846,0.26317,0.11807,1.62589,2.27037,1.51056,0.00651916,0.00651916,0.00651916
3,508.422,2.0243,2.68012,1.9053,0.3761,0.2482,0.23367,0.09631,1.70202,2.39925,1.57598,0.00955918,0.00955918,0.00955918
4,673.162,2.08869,2.70297,1.94375,0.38264,0.34011,0.31606,0.13756,1.63097,2.27165,1.5314,0.00934,0.00934,0.00934
5,839.055,1.95313,2.41337,1.87294,0.45147,0.35444,0.35939,0.15663,1.58909,2.1017,1.49149,0.00912,0.00912,0.00912
6,1005.27,1.86256,2.25678,1.78724,0.49353,0.42908,0.41639,0.19139,1.51057,2.01557,1.45509,0.0089,0.0089,0.0089
7,1171.44,1.8089,2.11442,1.73835,0.52884,0.46408,0.47125,0.22095,1.47423,1.80955,1.39124,0.00868,0.00868,0.00868
8,1337.75,1.78095,2.02182,1.69995,0.53643,0.46508,0.48376,0.23996,1.42576,1.72592,1.35863,0.00846,0.00846,0.00846
9,1503.47,1.705,1.88458,1.65609,0.57281,0.48858,0.51068,0.25228,1.42171,1.66012,1.35082,0.00824,0.00824,0.00824
10,1669.31,1.6749,1.83498,1.62769,0.56837,0.49241,0.51676,0.26474,1.36638,1.58626,1.31109,0.00802,0.00802,0.00802
11,1834.69,1.6548,1.79798,1.61073,0.58744,0.48219,0.53343,0.27627,1.37346,1.50988,1.31367,0.0078,0.0078,0.0078
12,2000.48,1.64393,1.73025,1.5932,0.59955,0.52847,0.5646,0.29483,1.3448,1.46327,1.2977,0.00758,0.00758,0.00758
13,2166.77,1.62193,1.68158,1.58756,0.63806,0.53257,0.586,0.3185,1.3261,1.43995,1.27694,0.00736,0.00736,0.00736
14,2332.8,1.5882,1.6253,1.55743,0.61124,0.54849,0.59172,0.31493,1.3139,1.45021,1.27571,0.00714,0.00714,0.00714
15,2497.26,1.57893,1.59877,1.54789,0.64436,0.5486,0.60246,0.32842,1.31228,1.35803,1.28014,0.00692,0.00692,0.00692
16,2663.36,1.5761,1.56643,1.55175,0.68893,0.55345,0.63536,0.3381,1.27572,1.37011,1.24428,0.0067,0.0067,0.0067
17,2829.16,1.55034,1.5457,1.53201,0.6792,0.58273,0.64678,0.35577,1.26012,1.26534,1.23541,0.00648,0.00648,0.00648
18,2995.15,1.53964,1.50412,1.52363,0.66189,0.58842,0.63094,0.34635,1.26382,1.29611,1.23206,0.00626,0.00626,0.00626
19,3159.74,1.51144,1.4504,1.49783,0.68147,0.5934,0.65074,0.36017,1.25404,1.25749,1.23096,0.00604,0.00604,0.00604
20,3325.54,1.50881,1.44786,1.5031,0.67326,0.59233,0.65103,0.37021,1.21659,1.20458,1.20407,0.00582,0.00582,0.00582
21,3490.99,1.50136,1.41614,1.49336,0.68373,0.60243,0.66526,0.37766,1.23301,1.19142,1.22138,0.0056,0.0056,0.0056
22,3656.91,1.48066,1.39241,1.4788,0.68997,0.6014,0.67485,0.38411,1.2138,1.15355,1.20509,0.00538,0.00538,0.00538
23,3822.92,1.46621,1.35386,1.47017,0.68625,0.6119,0.67774,0.38696,1.22492,1.13732,1.20758,0.00516,0.00516,0.00516
24,3988.89,1.44438,1.30618,1.44527,0.69089,0.63058,0.68889,0.39979,1.19562,1.13472,1.19212,0.00494,0.00494,0.00494
25,4154.92,1.44249,1.30564,1.44361,0.71651,0.62248,0.6959,0.40186,1.2014,1.09239,1.19049,0.00472,0.00472,0.00472
26,4320.94,1.43256,1.29236,1.43556,0.69475,0.6348,0.70345,0.40332,1.20149,1.0798,1.19157,0.0045,0.0045,0.0045
27,4486.97,1.42846,1.26455,1.43758,0.73195,0.62022,0.70254,0.4053,1.20487,1.04988,1.1941,0.00428,0.00428,0.00428
28,4652.76,1.40414,1.23694,1.41424,0.71008,0.64233,0.71377,0.41452,1.19436,1.04299,1.1847,0.00406,0.00406,0.00406
29,4819.1,1.39407,1.21826,1.41368,0.70646,0.65176,0.71278,0.41666,1.17521,1.0107,1.17376,0.00384,0.00384,0.00384
30,4985.17,1.38481,1.1905,1.39972,0.72786,0.64823,0.71835,0.41805,1.1709,1.00076,1.16931,0.00362,0.00362,0.00362
31,5151.3,1.37359,1.1766,1.39595,0.72892,0.64854,0.7212,0.42375,1.16902,0.98224,1.17073,0.0034,0.0034,0.0034
32,5317.28,1.35466,1.15251,1.37444,0.73473,0.64893,0.72408,0.42428,1.168,0.97608,1.16826,0.00318,0.00318,0.00318
33,5483.38,1.3503,1.12032,1.37193,0.72084,0.64311,0.7249,0.42751,1.17434,0.94267,1.17184,0.00296,0.00296,0.00296
34,5649,1.33302,1.09919,1.36728,0.74273,0.64402,0.72894,0.43135,1.16518,0.94402,1.16669,0.00274,0.00274,0.00274
35,5815.05,1.31667,1.07649,1.35142,0.74241,0.65904,0.73355,0.43398,1.1659,0.94684,1.17243,0.00252,0.00252,0.00252
36,5981.33,1.31596,1.06766,1.34717,0.74372,0.64774,0.73325,0.43295,1.16072,0.94306,1.16878,0.0023,0.0023,0.0023
37,6145.67,1.28985,1.02668,1.33135,0.74179,0.66515,0.73899,0.43788,1.16012,0.92495,1.16678,0.00208,0.00208,0.00208
38,6311.8,1.28317,1.01631,1.32729,0.75308,0.66294,0.74288,0.44154,1.16203,0.91526,1.16824,0.00186,0.00186,0.00186
39,6478.1,1.27665,0.99728,1.3252,0.75308,0.66943,0.74394,0.44433,1.15913,0.90513,1.16345,0.00164,0.00164,0.00164
40,6644.04,1.25296,0.96433,1.30058,0.75081,0.67785,0.74667,0.44494,1.16507,0.9025,1.16774,0.00142,0.00142,0.00142
41,6809.61,1.25094,0.94708,1.30435,0.74871,0.67813,0.7497,0.44346,1.16926,0.899,1.16699,0.0012,0.0012,0.0012
42,6974.51,1.24063,0.94821,1.30055,0.74714,0.68409,0.75049,0.44463,1.16643,0.88908,1.16825,0.00098,0.00098,0.00098
43,7138.94,1.21702,0.90373,1.28116,0.75557,0.6856,0.75122,0.44594,1.16697,0.88093,1.16962,0.00076,0.00076,0.00076
44,7304.7,1.21043,0.90326,1.27315,0.75881,0.68485,0.75194,0.44758,1.16854,0.87561,1.17157,0.00054,0.00054,0.00054
45,7470.12,1.20399,0.88752,1.27235,0.75911,0.68323,0.7515,0.44837,1.16827,0.8709,1.17182,0.00032,0.00032,0.00032
